	Gene
1013	ANKRD37
1014	ANKRD39
1015	ANKRD40
1016	ANKRD42
1017	ANKRD44
1018	ANKRD45
1019	ANKRD46
1020	ANKRD49
1021	ANKRD50
1022	ANKRD52
1023	ANKRD53
1024	ANKRD54
1025	ANKRD55
1026	ANKRD6
1027	ANKRD60
1028	ANKRD61
1029	ANKRD62
1030	ANKRD63
1031	ANKRD65
1032	ANKRD66
1033	ANKRD7
1034	ANKRD9
1035	ANKS1A
1036	ANKS1B
1037	ANKS3
1038	ANKS4B
1039	ANKS6
1040	ANKUB1
1041	ANKZF1
1042	ANLN
1043	ANO1
1044	ANO10
1045	ANO2
1046	ANO3
1047	ANO4
1048	ANO5
1049	ANO6
1050	ANO7
1051	ANO8
1052	ANO9
1053	ANOS1
1054	ANP32A
1055	ANP32B
1056	ANP32D
1057	ANP32E
1058	ANPEP
1059	ANTXR1
1060	ANTXR2
1061	ANTXRL
1062	ANXA1
1063	ANXA10
1064	ANXA11
1065	ANXA13
1066	ANXA2
1067	ANXA2R
1068	ANXA3
1069	ANXA4
1070	ANXA5
1071	ANXA6
1072	ANXA7
1073	ANXA8
1074	ANXA8L1
1075	ANXA9
1076	AOAH
1077	AOC1
1078	AOC2
1079	AOC3
1080	AOX1
1081	AP000275.65
1082	AP000295.9
1083	AP000304.12
1084	AP000322.53
1085	AP000349.1
1086	AP000349.2
1087	AP000350.10
1088	AP000351.1
1089	AP000721.4
1090	AP000866.1
1091	AP001888.1
1092	AP003419.11
1093	AP005242.1
1094	AP006285.1
1095	AP006285.2
1096	AP1AR
1097	AP1B1
1098	AP1G1
1099	AP1G2
1100	AP1M1
1101	AP1M2
1102	AP1S1
1103	AP1S2
1104	AP1S3
1105	AP2A1
1106	AP2A2
1107	AP2B1
1108	AP2M1
1109	AP2S1
1110	AP3B1
1111	AP3B2
1112	AP3D1
1113	AP3M1
1114	AP3M2
1115	AP3S1
1116	AP3S2
1117	AP4B1
1118	AP4E1
1119	AP4M1
1120	AP4S1
1121	AP5B1
1122	AP5M1
1123	AP5S1
1124	AP5Z1
1125	APAF1
1126	APBA1
1127	APBA2
1128	APBA3
1129	APBB1
1130	APBB1IP
1131	APBB2
1132	APBB3
1133	APC
1134	APC2
1135	APCDD1
1136	APCDD1L
1137	APCS
1138	APEH
1139	APELA
1140	APEX1
1141	APEX2
