	ENSEMBL_ID
666	ENST00000618988.4
667	ENST00000614839.4
668	ENST00000619661.2
669	ENST00000617807.2
670	ENST00000621994.2
671	ENST00000323770.7
672	ENST00000415919.2
673	ENST00000624297.1
674	ENST00000622421.2
675	ENST00000357367.6
676	ENST00000621519.4
677	ENST00000614831.1
678	ENST00000613530.4
679	ENST00000376152.2
680	ENST00000334600.6
681	ENST00000376101.2
682	ENST00000376098.4
683	ENST00000316412.9
684	ENST00000602960.1
685	ENST00000376085.3
686	ENST00000294489.10
687	ENST00000617617.4
688	ENST00000376057.8
689	ENST00000621990.4
690	ENST00000510906.5
691	ENST00000509009.5
692	ENST00000376061.8
693	ENST00000513143.5
694	ENST00000487038.5
695	ENST00000475043.5
696	ENST00000484063.6
697	ENST00000376048.9
698	ENST00000311066.9
699	ENST00000235372.11
700	ENST00000413440.5
701	ENST00000343137.8
702	ENST00000503842.5
703	ENST00000407521.7
704	ENST00000505823.5
705	ENST00000487453.1
706	ENST00000376030.6
707	ENST00000503743.5
708	ENST00000361144.9
709	ENST00000376028.8
710	ENST00000400798.6
711	ENST00000400797.3
712	ENST00000428417.5
713	ENST00000376014.7
714	ENST00000451326.6
715	ENST00000400796.7
716	ENST00000434578.6
717	ENST00000376008.2
718	ENST00000358897.8
719	ENST00000433640.6
720	ENST00000375998.8
721	ENST00000375997.8
722	ENST00000524761.5
723	ENST00000375995.3
724	ENST00000444385.5
725	ENST00000529606.5
726	ENST00000314668.13
727	ENST00000375980.8
728	ENST00000445566.1
729	ENST00000375949.4
730	ENST00000375943.6
731	ENST00000359621.4
732	ENST00000375910.7
733	ENST00000422901.1
734	ENST00000546424.5
735	ENST00000333868.9
736	ENST00000348549.9
737	ENST00000424908.5
738	ENST00000375890.8
739	ENST00000447522.5
740	ENST00000440484.1
741	ENST00000469637.1
742	ENST00000375838.5
743	ENST00000616884.4
744	ENST00000375847.7
745	ENST00000375849.5
746	ENST00000375826.3
747	ENST00000480945.5
748	ENST00000345034.1
749	ENST00000375799.7
750	ENST00000375793.2
751	ENST00000294454.5
752	ENST00000375782.1
753	ENST00000496928.6
754	ENST00000508310.5
755	ENST00000510393.5
756	ENST00000430076.5
757	ENST00000375771.5
758	ENST00000510929.5
759	ENST00000502638.5
760	ENST00000375766.7
761	ENST00000483633.6
762	ENST00000502739.5
763	ENST00000431771.6
764	ENST00000441801.6
765	ENST00000332305.5
766	ENST00000483273.2
767	ENST00000375759.7
768	ENST00000438066.1
769	ENST00000442985.1
770	ENST00000440560.5
771	ENST00000375743.8
772	ENST00000537142.5
773	ENST00000375733.6
774	ENST00000444358.1
775	ENST00000329454.2
776	ENST00000411503.5
777	ENST00000311890.13
778	ENST00000375718.4
779	ENST00000463576.5
780	ENST00000487046.1
781	ENST00000406363.2
782	ENST00000375692.5
783	ENST00000439316.6
784	ENST00000331433.4
785	ENST00000619181.4
786	ENST00000375679.8
787	ENST00000375667.7
788	ENST00000431772.1
789	ENST00000375662.4
790	ENST00000358432.7
791	ENST00000270747.7
792	ENST00000449495.1
793	ENST00000441785.1
794	ENST00000375599.7
795	ENST00000434014.1
796	ENST00000375592.7
797	ENST00000456164.5
798	ENST00000444116.1
799	ENST00000401088.8
800	ENST00000471507.5
801	ENST00000401089.3
802	ENST00000492354.1
803	ENST00000491418.5
804	ENST00000335496.5
805	ENST00000540400.1
806	ENST00000375577.5
807	ENST00000612240.1
808	ENST00000337132.9
809	ENST00000504551.6
810	ENST00000457722.6
811	ENST00000443980.6
812	ENST00000600179.2
813	ENST00000430580.6
814	ENST00000432949.5
815	ENST00000434336.2
816	ENST00000624031.1
817	ENST00000375541.9
818	ENST00000445545.6
819	ENST00000467938.5
820	ENST00000467715.2
821	ENST00000375534.7
822	ENST00000375535.3
823	ENST00000326735.12
824	ENST00000341676.9
825	ENST00000452699.5
826	ENST00000502418.1
827	ENST00000503552.1
